item_id,picture,n_past,n_future,past_minus_future_median,ci_2.5,ci_97.5,p_gt_0,abs_effect_for_ranking
Wizard_push,wizard_push_cart.png,1,1,0.917,-0.478,2.856,0.917,0.917
Chef_paint,chef_paint_canvas.png,1,1,0.906,-0.313,2.719,0.915,0.906
Pirate_cut,pirate_cut_bread.png,1,1,0.905,-0.440,2.958,0.915,0.905
Chef_peel,chef_peel_banana.png,1,1,0.899,-0.251,2.835,0.910,0.899
Pirate_smell,pirate_smell_flower.png,1,1,0.876,-0.502,2.703,0.930,0.876
Wizard_light,wizard_light_candle.png,1,1,0.875,-0.770,2.498,0.902,0.875
Wizard_dig,wizard_dig_hole.png,1,1,0.872,-0.435,2.661,0.925,0.872
Pirate_dig,pirate_dig_hole.png,1,1,0.863,-0.385,2.912,0.935,0.863
Pirate_drink,pirate_drink_coffee.png,1,1,0.863,-0.414,2.773,0.930,0.863
Pirate_paint,pirate_paint_canvas.png,1,1,0.857,-0.428,2.975,0.915,0.857
Chef_break,chef_break_stick.png,1,1,0.855,-0.594,2.776,0.915,0.855
Pirate_light,pirate_light_candle.png,1,1,0.851,-0.463,3.012,0.907,0.851
Pirate_peel,pirate_peel_banana.png,1,1,0.849,-0.519,2.501,0.925,0.849
Chef_cut,chef_cut_bread.png,1,1,0.835,-0.688,2.893,0.915,0.835
Pirate_break,pirate_break_stick.png,1,1,0.833,-0.447,2.726,0.922,0.833
Chef_smell,chef_smell_flower.png,1,1,0.824,-0.291,3.009,0.938,0.824
Chef_light,chef_light_candle.png,1,1,0.822,-0.716,2.880,0.890,0.822
Chef_dig,chef_dig_hole.png,1,1,0.807,-0.384,2.946,0.917,0.807
Chef_sweep,chef_sweep_floor.png,1,1,0.796,-0.215,3.029,0.930,0.796
Wizard_break,wizard_break_stick.png,1,1,0.795,-0.419,2.869,0.922,0.795
Pirate_hammer,pirate_hammer_nail.png,1,1,0.727,-0.701,2.290,0.877,0.727
Wizard_smell,wizard_smell_flower.png,1,1,0.720,-0.636,1.987,0.887,0.720
Wizard_peel,wizard_peel_banana.png,1,1,0.711,-0.617,1.859,0.885,0.711
Wizard_sweep,wizard_sweep_floor.png,1,1,0.711,-0.852,2.286,0.890,0.711
Wizard_drink,wizard_drink_coffee.png,1,1,0.704,-0.726,2.480,0.858,0.704
Pirate_push,pirate_push_cart.png,1,1,0.702,-0.736,2.273,0.890,0.702
Chef_push,chef_push_cart.png,1,1,0.693,-0.607,2.136,0.877,0.693
Chef_hammer,chef_hammer_nail.png,1,1,0.690,-0.358,1.931,0.882,0.690
Wizard_kick,wizard_kick_ball.png,1,1,0.682,-0.806,2.427,0.845,0.682
Pirate_kick,pirate_kick_ball.png,1,1,0.681,-0.561,2.156,0.887,0.681
Pirate_eat,pirate_eat_apple.png,1,1,0.680,-0.721,2.122,0.858,0.680
Pirate_build,pirate_build_tower.png,1,1,0.676,-0.451,1.865,0.887,0.676
Chef_stir,chef_stir_pot.png,1,1,0.653,-0.830,2.008,0.865,0.653
Wizard_cut,wizard_cut_bread.png,1,1,0.639,-0.772,2.167,0.825,0.639
Pirate_climb,pirate_climb_ladder.png,1,1,0.628,-1.104,1.826,0.807,0.628
Chef_drink,chef_drink_coffee.png,1,1,0.612,-0.717,2.088,0.845,0.612
Pirate_play,pirate_play_guitar.png,1,1,0.595,-0.939,1.988,0.835,0.595
Wizard_stir,wizard_stir_pot.png,1,1,0.583,-0.894,1.890,0.838,0.583
Pirate_stir,pirate_stir_pot.png,1,1,0.568,-0.984,1.997,0.782,0.568
Chef_kick,chef_kick_ball.png,1,1,0.554,-0.939,2.216,0.835,0.554
Chef_play,chef_play_guitar.png,1,1,0.547,-0.811,1.917,0.823,0.547
Wizard_throw,wizard_throw_frisbee.png,1,1,0.536,-1.058,1.951,0.780,0.536
Pirate_sweep,pirate_sweep_floor.png,1,1,0.524,-1.075,1.917,0.787,0.524
Chef_build,chef_build_tower.png,1,1,0.511,-1.276,1.871,0.782,0.511
Wizard_hammer,wizard_hammer_nail.png,1,1,0.510,-1.012,1.898,0.795,0.510
Wizard_ride,wizard_ride_bicycle.png,1,1,0.510,-1.448,1.819,0.750,0.510
Wizard_climb,wizard_climb_ladder.png,1,1,0.499,-1.405,1.716,0.780,0.499
Chef_throw,chef_throw_frisbee.png,1,1,0.469,-1.440,1.730,0.757,0.469
Chef_wash,chef_wash_dish.png,1,1,0.469,-1.327,1.760,0.770,0.469
Chef_eat,chef_eat_apple.png,1,1,0.466,-1.302,1.711,0.755,0.466
Wizard_wash,wizard_wash_dish.png,1,1,0.447,-1.646,1.608,0.703,0.447
Wizard_play,wizard_play_guitar.png,1,0,0.439,-1.530,1.750,0.755,0.439
Wizard_paint,wizard_paint_canvas.png,1,1,0.438,-1.272,1.912,0.718,0.438
Chef_climb,chef_climb_ladder.png,1,1,0.432,-1.356,1.899,0.740,0.432
Pirate_throw,pirate_throw_frisbee.png,1,1,0.423,-1.735,1.608,0.700,0.423
Pirate_ride,pirate_ride_bicycle.png,1,1,0.420,-1.163,1.723,0.730,0.420
Pirate_wash,pirate_wash_dish.png,1,1,0.417,-1.527,1.400,0.693,0.417
Wizard_eat,wizard_eat_apple.png,1,1,0.412,-1.546,1.371,0.725,0.412
Chef_ride,chef_ride_bicycle.png,1,1,0.411,-2.164,1.780,0.703,0.411
Wizard_build,wizard_build_tower.png,1,1,0.344,-2.313,1.679,0.650,0.344
